Rank,Artist,Album,Certified_Units_Millions,Estimated_Wholesale_USD,Certification_Level,Certification_Type,Source
41,Dixie Chicks,Wide Open Spaces,13,26000000,Diamond (13× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
42,Whitney Houston,Whitney Houston,13,26000000,Diamond (13× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
43,Bon Jovi,Slippery When Wet,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
44,Boyz II Men,II,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
45,Celine Dion,Falling Into You,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
46,Def Leppard,Hysteria,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
47,Jewel,Pieces of You,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
48,Kenny G,Breathless,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
49,Kenny Rogers,Kenny Rogers’ Greatest Hits,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
50,Led Zeppelin,Led Zeppelin II,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
51,Linkin Park,Hybrid Theory,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
52,Matchbox Twenty,Yourself Or Someone Like You,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
53,Phil Collins,No Jacket Required,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
54,Shania Twain,The Woman In Me,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
55,Various Artists,Forrest Gump [Soundtrack],12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
56,The Beatles,Abbey Road,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
57,The Rolling Stones,Hot Rocks,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
58,TLC,Crazysexycool,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
59,Tom Petty & The Heartbreakers,Greatest Hits,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
60,Adele,25,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
61,Aerosmith,Aerosmith’s Greatest Hits,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
62,Creed,Human Clay,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
63,Eagles,Eagles Greatest Hits Volume II,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
64,James Taylor,James Taylor’s Greatest Hits,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
65,Kid Rock,Devil Without A Cause,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
66,Led Zeppelin,Houses of the Holy,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
67,‘N Sync,No Strings Attached,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
68,Notorious B.I.G.,Life After Death,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
69,Outkast,Speakerboxx / The Love Below,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
70,Shania Twain,Up!,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
71,Various Artists,Dirty Dancing [Soundtrack],11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
72,Various Artists,Titanic [Soundtrack],11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
73,The Beatles,1,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
74,The Beatles,Sgt. Pepper’s Lonely Hearts Club Band,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
75,Dixie Chicks,Fly,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
76,2 Pac,Greatest Hits,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
77,2 Pac,All Eyez On Me,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
