has_handle,counts,counts_tobit,fem_dum,dem_dum,rep_dum,state_num,sentiment_total,party,womens_issues,education,health_care,ideology_total,BlackorLatino_legislator,years_since_elected
0,NA,0,1,1,0,20,NA,D,NA,NA,NA,NA,NA,NA
0,NA,0,1,1,0,25,NA,D,NA,NA,NA,NA,1,11
1,869,869,0,1,0,5,0.675489068,D,0.043728422,0.020713463,0.023014959,0.004602991,1,NA
1,78,78,0,1,0,33,0.756410241,D,0.102564111,0.03846154,0.064102568,0.038461544,0,NA
1,963,963,0,1,0,12,0.635514021,D,0.015576324,0.008307373,0.007268951,0.042575285,1,NA
0,NA,0,0,0,1,28,NA,R,NA,NA,NA,NA,0,26
1,1917,1917,0,1,0,20,0.372456968,D,0.021387585,0.014084507,0.007303078,0.071465835,NA,NA
1,1569,1569,0,1,0,9,0.385595918,D,0.029955385,0.020395156,0.009560229,0.109623961,0,NA
0,NA,0,0,0,1,32,NA,R,NA,NA,NA,NA,0,NA
1,13,13,0,0,1,34,0.846153855,R,0,0,0,0.384615391,0,NA
1,1031,1031,0,1,0,5,0.648884594,D,0.04558681,0.032977693,0.012609118,-0.028128035,0,NA
1,671,671,0,1,0,14,0.470938921,D,0.040238447,0.023845008,0.016393442,0.068554394,1,NA
1,790,790,0,1,0,33,0.74683547,D,0.046835445,0.027848102,0.018987341,0.053164557,NA,NA
1,10,10,0,1,0,33,-0.099999994,D,0.300000012,0.200000003,0.100000001,-0.200000003,NA,NA
0,NA,0,0,1,0,10,NA,D,NA,NA,NA,NA,1,NA
0,NA,0,0,0,1,2,NA,R,NA,NA,NA,NA,0,NA
0,NA,0,0,0,1,2,NA,R,NA,NA,NA,NA,0,NA
1,3151,3151,0,0,1,38,0.284036815,R,0.009838147,0.003808315,0.006029832,0.328467131,NA,NA
1,281,281,0,0,1,26,0.081850529,R,0.007117438,0.003558719,0.003558719,0.135231316,0,NA
1,577,577,0,1,0,17,0.597920239,D,0.017331023,0.01559792,0.001733102,0.11611785,0,NA
0,NA,0,0,1,0,24,NA,D,NA,NA,NA,NA,0,3
0,NA,0,0,1,0,24,NA,D,NA,NA,NA,NA,1,5
0,NA,0,0,0,1,2,NA,R,NA,NA,NA,NA,0,NA
0,NA,0,0,0,1,15,NA,R,NA,NA,NA,NA,0,NA
1,16,16,0,0,1,10,0.125,R,0,0,0,0.0625,0,NA
0,NA,0,0,0,1,26,NA,R,NA,NA,NA,NA,0,NA
1,11,11,0,0,1,18,-0.090909094,R,0,0,0,0,0,9
1,229,229,0,1,0,19,0.567685604,D,0.065502182,0.03930131,0.026200874,0.039301313,0,NA
0,NA,0,0,1,0,29,NA,D,NA,NA,NA,NA,NA,NA
0,NA,0,0,0,1,44,NA,R,NA,NA,NA,NA,0,11
0,NA,0,0,0,1,48,NA,R,NA,NA,NA,NA,0,NA
1,3067,3067,0,1,0,6,0.429735899,D,0.023149658,0.011085751,0.012063907,0.199217469,0,NA
0,NA,0,0,0,1,36,NA,R,NA,NA,NA,NA,0,NA
1,2,2,0,1,0,37,1,D,0,0,0,0,NA,NA
1,16,16,0,0,1,25,0.1875,R,0,0,0,0.1875,0,1
0,NA,0,0,0,1,6,NA,R,NA,NA,NA,NA,NA,NA
1,3,3,1,0,1,9,1,R,0,0,0,0.333333343,NA,NA
1,3190,3190,0,1,0,43,0.320689678,D,0.055172414,0.014106583,0.041065831,0.03573668,1,7
1,3192,3192,0,0,1,29,0.02192983,R,0.01754386,0.001879699,0.01566416,0.446115285,NA,NA
1,NA,0,0,0,1,33,NA,R,NA,NA,NA,NA,NA,NA
0,NA,0,1,1,0,23,NA,D,NA,NA,NA,NA,0,NA
0,NA,0,1,1,0,44,NA,D,NA,NA,NA,NA,0,37
0,NA,0,1,1,0,44,NA,D,NA,NA,NA,NA,0,23
1,619,619,1,1,0,19,0.723747969,D,0.100161552,0.098546043,0.001615509,0.042003233,NA,NA
1,1827,1827,1,1,0,33,0.622331738,D,0.034482758,0.026272578,0.00821018,0.051450461,1,NA
1,1347,1347,1,1,0,34,0.540460289,D,0.020786934,0.007423905,0.013363029,0.063845575,1,NA
0,NA,0,1,1,0,28,NA,D,NA,NA,NA,NA,0,4
1,NA,0,0,0,1,24,NA,R,NA,NA,NA,NA,0,5
0,NA,0,0,0,1,47,NA,R,NA,NA,NA,NA,NA,NA
1,3088,3088,0,0,1,2,0.315414518,R,0.033678755,0.010362694,0.023316063,0.167422265,0,NA
1,3193,3193,0,0,1,10,0.444409668,R,0.013466959,0.003131851,0.010335108,0.198559344,0,NA
1,435,435,0,0,1,14,0.027586222,R,0.025287356,0.009195402,0.016091954,0.131034493,0,NA
0,NA,0,0,0,1,2,NA,R,NA,NA,NA,NA,0,NA
0,NA,0,0,0,1,29,NA,R,NA,NA,NA,NA,0,NA
1,3202,3202,1,1,0,29,0.163647711,D,0.036851969,0.009056839,0.027795129,0.064647086,0,NA
1,4,4,1,1,0,41,1,D,0,0,0,0.25,NA,NA
1,1242,1242,0,0,1,31,0.503220618,R,0.026570048,0.022544283,0.004025765,0.173913047,1,NA
