Rank,Artist,Album,Genre,Certified_Units_Millions,Estimated_Wholesale_USD,Certification_Level,Certification_Type,Source
39,Pearl Jam,Ten,Rock,13,26000000,Diamond (13× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
40,Prince & The Revolution,Purple Rain [Soundtrack],R&B/Soul,13,26000000,Diamond (13× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
41,Dixie Chicks,Wide Open Spaces,Country,13,26000000,Diamond (13× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
42,Whitney Houston,Whitney Houston,R&B/Soul,13,26000000,Diamond (13× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
43,Bon Jovi,Slippery When Wet,Rock,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
44,Boyz II Men,II,R&B/Soul,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
45,Celine Dion,Falling Into You,Pop,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
46,Def Leppard,Hysteria,Metal,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
47,Jewel,Pieces of You,Other,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
48,Kenny G,Breathless,Other,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
49,Kenny Rogers,Kenny Rogers’ Greatest Hits,Country,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
50,Led Zeppelin,Led Zeppelin II,Rock,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
51,Linkin Park,Hybrid Theory,Alternative/Indie,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
52,Matchbox Twenty,Yourself Or Someone Like You,Alternative/Indie,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
53,Phil Collins,No Jacket Required,Other,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
54,Shania Twain,The Woman In Me,Country,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
55,Various Artists,Forrest Gump [Soundtrack],Soundtrack,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
56,The Beatles,Abbey Road,Rock,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
57,The Rolling Stones,Hot Rocks,Other,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
58,TLC,Crazysexycool,R&B/Soul,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
59,Tom Petty & The Heartbreakers,Greatest Hits,Other,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
60,Adele,25,Pop,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
61,Aerosmith,Aerosmith’s Greatest Hits,Rock,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
62,Creed,Human Clay,Other,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
63,Eagles,Eagles Greatest Hits Volume II,Rock,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
64,James Taylor,James Taylor’s Greatest Hits,Other,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
65,Kid Rock,Devil Without A Cause,Alternative/Indie,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
66,Led Zeppelin,Houses of the Holy,Rock,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
67,‘N Sync,No Strings Attached,Other,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
68,Notorious B.I.G.,Life After Death,Hip-Hop/Rap,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
69,Outkast,Speakerboxx / The Love Below,Hip-Hop/Rap,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
70,Shania Twain,Up!,Country,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
71,Various Artists,Dirty Dancing [Soundtrack],Soundtrack,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
72,Various Artists,Titanic [Soundtrack],Soundtrack,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
73,The Beatles,1,Rock,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
74,The Beatles,Sgt. Pepper’s Lonely Hearts Club Band,Rock,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
75,Dixie Chicks,Fly,Country,11,22000000,Diamond (11× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
76,2 Pac,Greatest Hits,Hip-Hop/Rap,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
77,2 Pac,All Eyez On Me,Hip-Hop/Rap,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
78,Beastie Boys,Licensed To Ill,Hip-Hop/Rap,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
79,Billy Joel,The Stranger,Pop,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
80,Bob Seger & The Silver Bullet Band,Greatest Hits,Rock,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
81,Britney Spears,Oops!…I Did It Again,Pop,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
82,Celine Dion,Let’s Talk About Love,Pop,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
83,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits,Rock,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
84,Def Leppard,Pyromania,Metal,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
85,Doobie Brothers,Best Of The Doobies,Other,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
86,Elvis Presley,Elvis’ Christmas Album,Other,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
87,Eminem,The Marshall Mathers LP,Hip-Hop/Rap,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
88,Eminem,The Eminem Show,Hip-Hop/Rap,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
89,Eric Clapton,Unplugged,Other,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
90,Garth Brooks,The Ultimate Hits,Country,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
91,Garth Brooks,Sevens,Country,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
92,Garth Brooks,The Chase,Country,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
93,Garth Brooks,Garth Brooks,Country,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
94,Garth Brooks,In Pieces,Country,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
95,Garth Brooks,The Hits,Country,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
96,George Michael,Faith,Other,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
97,Green Day,Dookie,Alternative/Indie,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
98,Hammer,Please Hammer Don’t Hurt ‘Em,Other,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
99,Lauryn Hill,The Miseducation of Lauryn Hill,Hip-Hop/Rap,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
100,Led Zeppelin,Led Zeppelin,Rock,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
