Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,Genre,director,IMDBrating,contentRating,duration
584,John Carter,284139100,73078100,25.70%,211061000,0.743,2012,Action,,,,
585,Turbo,282570682,83028128,29.40%,199542554,0.706,2013,Animation,David Soren,6.4,PG,PT1H36M
586,Paddington,282438834,76271832,27%,206167002,0.73,2014,Family,Paul King,7.3,PG,PT1H35M
587,The Tourist,278780441,67631157,24.30%,211149284,0.757,2010,Action,Florian Henckel von Donnersmarck,6.0,PG-13,PT1H43M
588,Split,278454417,138291365,49.70%,140163052,0.503,2017,Horror,M. Night Shyamalan,7.3,PG-13,PT1H57M
589,Scary Movie,278019771,157019771,56.50%,121000000,0.435,2000,Comedy,Keenen Ivory Wayans,6.2,R,PT1H28M
590,xXx,277448382,142109382,51.20%,135339000,0.488,2002,Action,,,,
591,The Bourne Legacy,276144750,113203870,41%,162940880,0.59,2012,Action,Tony Gilroy,6.6,PG-13,PT2H15M
592,Mr. Peabody & Sherman,275698039,111506430,40.40%,164191609,0.596,2014,Animation,Rob Minkoff,6.8,PG,PT1H32M
593,Scooby-Doo,275678613,153322074,55.60%,122356539,0.444,2002,Mystery,Raja Gosnell,5.2,PG,PT1H26M
594,Lincoln,275293450,182207973,66.20%,93085477,0.338,2012,History,Steven Spielberg,7.3,PG-13,PT2H30M
595,Creed III,275248615,156248615,56.80%,119000000,0.432,2023,No Data,Michael B. Jordan,6.8,PG-13,PT1H56M
596,Lara Croft: Tomb Raider,274703340,131168070,47.80%,143535270,0.522,2001,Adventure,Simon West,5.7,PG-13,PT1H40M
597,Tomb Raider,274650803,58250803,21.20%,216400000,0.788,2018,No Data,Roar Uthaug,6.3,PG-13,PT1H59M
598,The Expendables,274470394,103068524,37.60%,171401870,0.624,2010,Thriller,,,,
599,Cloudy with a Chance of Meatballs 2,274325949,119793567,43.70%,154532382,0.563,2013,Animation,Cody Cameron,6.3,PG,PT1H35M
600,The Nutty Professor,273961019,128814019,47%,145147000,0.53,1996,Fantasy,,,,
601,Jerry Maguire,273552592,153952592,56.30%,119600000,0.437,1996,Comedy,Cameron Crowe,7.3,R,PT2H19M
602,Bad Boys II,273339556,138608444,50.70%,134731112,0.493,2003,Adventure,Michael Bay,6.6,R,PT2H27M
603,Lilo & Stitch,273144151,145794338,53.40%,127349813,0.466,2002,Animation,Dean DeBlois,7.3,PG,PT1H25M
604,The Silence of the Lambs,272742922,130742922,47.90%,142000000,0.521,1991,Crime,,,,
605,Grown Ups,271457301,162001186,59.70%,109456115,0.403,2010,Comedy,Dennis Dugan,6.0,PG-13,PT1H42M
606,Neighbors,270665134,150157400,55.50%,120507734,0.445,2014,Comedy,Nicholas Stoller,6.3,R,PT1H37M
607,The Firm,270248367,158348367,58.60%,111900000,0.414,1993,Drama,Sydney Pollack,6.8,R,PT2H34M
608,We're the Millers,269994119,150394119,55.70%,119600000,0.443,2012,Comedy,Rawson Marshall Thurber,7.0,R,PT1H50M
609,Gran Torino,269958228,148095302,54.90%,121862926,0.451,2008,Drama,Clint Eastwood,8.1,R,PT1H56M
610,"10,000 BC",269784201,94784201,35.10%,175000000,0.649,2008,Adventure,Roland Emmerich,5.1,PG-13,PT1H49M
611,American Gangster,269755430,130164645,48.20%,139590785,0.518,2007,Drama,Ridley Scott,7.8,R,PT2H37M
612,The Flash,268533313,108133313,40.30%,160400000,0.597,2023,No Data,Andy Muschietti,6.8,PG-13,PT2H24M
613,Epic,268426634,107518682,40.10%,160907952,0.599,2013,Animation,Chris Wedge,6.6,PG,PT1H42M
614,Exodus: Gods and Kings,268175631,65014513,24.20%,203161118,0.758,2014,Adventure,Ridley Scott,6.0,PG-13,PT2H30M
615,Blade Runner 2049,267770708,92071675,34.40%,175699033,0.656,2017,No Data,Denis Villeneuve,8.0,R,PT2H44M
616,Bambi,267447150,102247150,38.20%,165200000,0.618,1942,Animation,James Algar,7.3,G,PT1H9M
617,The Princess and the Frog,267045765,104400899,39.10%,162644866,0.609,2009,Romance,Ron Clements,7.1,G,PT1H37M
618,Batman Returns,266915287,162924631,61%,103990656,0.39,1992,Action,,,,
619,Indecent Proposal,266614059,106614059,40%,160000000,0.6,1993,Drama,Adrian Lyne,6.0,R,PT1H57M
620,Something's Gotta Give,265328738,124728738,47%,140600000,0.53,2003,Drama,Nancy Meyers,6.7,PG-13,PT2H8M
621,Bridget Jones: The Edge of Reason,265126918,40226215,15.20%,224900703,0.848,2004,Comedy,Beeban Kidron,6.0,R,PT1H48M
622,The Incredible Hulk,264770996,134806913,50.90%,129964083,0.491,2008,Science Fiction,Louis Leterrier,6.6,PG-13,PT1H52M
623,Waterworld,264218220,88246220,33.40%,175972000,0.666,1995,Adventure,Kevin Reynolds,6.3,PG-13,PT2H57M
624,The Truman Show,264118712,125618201,47.60%,138500511,0.524,1998,Comedy,Peter Weir,8.2,PG,PT1H43M
625,Charlie's Angels,264105545,125305545,47.40%,138800000,0.526,2000,Action,McG,5.6,PG-13,PT1H38M
626,The Fifth Element,263920180,63820180,24.20%,200100000,0.758,1997,Adventure,,,,
627,Jumanji,262821940,100499940,38.20%,162322000,0.618,1995,Adventure,Joe Johnston,7.1,PG,PT1H44M
628,Parasite,262681282,53369749,20.30%,209311533,0.797,2019,Horror,Bong Joon Ho,8.5,R,PT2H12M
629,Borat,262552893,128505958,48.90%,134046935,0.511,2006,No Data,Larry Charles,7.4,R,PT1H24M
630,Robots,262511490,128200012,48.80%,134311478,0.512,2005,Animation,Casper Christensen,5.5,R,PT1H33M
631,Knight and Day,261989769,76423035,29.20%,185566734,0.708,2008,Action,James Mangold,6.3,PG-13,PT1H49M
632,Total Recall,261317921,119412921,45.70%,141905000,0.543,1990,Action,Paul Verhoeven,7.5,R,PT1H53M
633,This Is It,261183588,72091016,27.60%,189092572,0.724,2009,Music,Kenny Ortega,7.2,PG,PT1H51M
634,Terminator: Dark Fate,261119292,62253077,23.80%,198866215,0.762,2019,No Data,,,,
635,The Lone Ranger,260502115,89302115,34.30%,171200000,0.657,2013,Adventure,Gore Verbinski,6.4,PG-13,PT2H30M
636,Super 8,260095986,127004179,48.80%,133091807,0.512,2011,Thriller,J.J. Abrams,7.0,PG-13,PT1H52M
637,Halloween,259939835,159342015,61.30%,100597820,0.387,2018,Horror,,,,
638,Mojin: The Lost Legend,259368448,1243810,0.50%,258124638,0.995,2015,Action,Wuershan,5.9,Not Rated,PT2H7M
639,Charlie's Angels: Full Throttle,259175788,100830111,38.90%,158345677,0.611,2003,Action,McG,4.9,PG-13,PT1H46M
640,Rush Hour 3,258097122,140125968,54.30%,117971154,0.457,2007,Action,Brett Ratner,6.2,PG-13,PT1H31M
641,The Full Monty,257938649,45950122,17.80%,211988527,0.822,1997,Comedy,Peter Cattaneo,7.2,R,PT1H31M
642,Kung Fu Yoga,257753889,362657,0.10%,257391232,0.999,2017,Mystery,Stanley Tong,5.2,Not Rated,PT1H47M
643,Annabelle,257589721,84284252,32.70%,173305469,0.673,2014,Horror,John R. Leonetti,5.4,R,PT1H39M
644,Encanto,256786742,96093622,37.40%,160693120,0.626,2021,No Data,Jared Bush,7.2,PG,PT1H42M
645,The Village,256697520,114197520,44.50%,142500000,0.555,2003,Drama,M. Night Shyamalan,6.6,PG-13,PT1H48M
646,Lost in Hong Kong,256283912,1302281,0.50%,254981631,0.995,2015,No Data,Guy Orlebar,8.6,Not Rated,PT1H31M
