Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,Genre,director,IMDBrating,contentRating,duration
677,Glass,246999039,111048468,45%,135950571,0.55,2019,Documentary,Rian Johnson,7.1,PG-13,PT2H19M
678,Grown Ups 2,246984278,133668525,54.10%,113315753,0.459,2013,Comedy,Dennis Dugan,5.3,PG-13,PT1H41M
679,The Peanuts Movie,246233113,130178411,52.90%,116054702,0.471,2015,Animation,Steve Martino,7.0,G,PT1H28M
680,Rango,245724603,123477607,50.20%,122246996,0.498,2011,Animation,Gore Verbinski,7.2,PG,PT1H47M
681,Four Weddings and a Funeral,245700832,52700832,21.40%,193000000,0.786,1994,Comedy,,,,
682,Face/Off,245676146,112276146,45.70%,133400000,0.543,1997,Action,,,,
683,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,82051601,33.40%,163572247,0.666,2016,Fantasy,Dave Green,5.9,PG-13,PT1H52M
684,Dark Shadows,245527149,79727149,32.50%,165800000,0.675,2012,Comedy,Tim Burton,6.2,PG-13,PT1H53M
685,Hulk,245285165,132177234,53.90%,113107931,0.461,2003,Drama,Ang Lee,5.6,PG-13,PT2H18M
686,The Bravest,245179562,290217,0.10%,244889345,0.999,2019,No Data,Tony Chan,5.7,PG-13,PT1H58M
687,Welcome to the Sticks,245144417,0,0,245144417,1,2008,Comedy,Dany Boon,7.1,Not Rated,PT1H46M
688,Back to the Future Part III,245077583,88277583,36%,156800000,0.64,1990,Adventure,,,,
689,Pixels,244874809,78747585,32.20%,166127224,0.678,2015,Action,Chris Columbus,5.6,PG-13,PT1H45M
690,Hercules,244819862,72688614,29.70%,172131248,0.703,2014,Animation,Ron Clements,7.3,G,PT1H33M
691,Rush Hour,244721064,141186864,57.70%,103534200,0.423,1998,Action,Brett Ratner,7.0,PG-13,PT1H38M
692,Journey to the Center of the Earth,244232688,101704370,41.60%,142528318,0.584,2008,Adventure,Eric Brevig,5.8,PG,PT1H33M
693,After Earth,243611982,60522097,24.80%,183089885,0.752,2013,Science Fiction,M. Night Shyamalan,4.8,PG-13,PT1H40M
694,A Few Good Men,243240178,141340178,58.10%,101900000,0.419,1992,Drama,Rob Reiner,7.7,R,PT2H18M
695,Cloudy with a Chance of Meatballs,243006126,124870275,51.40%,118135851,0.486,2009,Animation,Phil Lord,6.9,PG,PT1H30M
696,8 Mile,242875078,116750901,48.10%,126124177,0.519,2002,Drama,Curtis Hanson,7.2,R,PT1H50M
697,Daddy's Home,242786137,150357137,61.90%,92429000,0.381,2015,Comedy,Sean Anders,6.2,PG-13,PT1H36M
698,RoboCop,242688965,58607007,24.20%,184081958,0.758,2014,Action,Paul Verhoeven,7.6,R,PT1H42M
699,Eraser,242295562,101295562,41.80%,141000000,0.582,1996,Action,Chuck Russell,6.2,R,PT1H55M
700,Alien: Covenant,240891763,74262031,30.80%,166629732,0.692,2017,Horror,Ridley Scott,6.4,R,PT2H2M
701,Sully,240797623,125070033,51.90%,115727590,0.481,2016,Drama,Clint Eastwood,7.4,PG-13,PT1H36M
702,Assassin's Creed,240697856,54647948,22.70%,186049908,0.773,2016,Action,Justin Kurzel,5.6,PG-13,PT1H55M
703,Click,240685326,137355633,57.10%,103329693,0.429,2006,Comedy,Frank Coraci,6.4,PG-13,PT1H47M
704,Legend of Deification,240646355,214670,<0.1%,240431685,0.999,2020,No Data,Teng Cheng,6.5,TV-PG,PT1H50M
705,Planes,240171783,90288712,37.60%,149883071,0.624,2013,Animation,Klay Hall,5.7,PG,PT1H31M
706,Resident Evil: Retribution,240159255,42345531,17.60%,197813724,0.824,2012,Action,Paul W.S. Anderson,5.3,R,PT1H35M
707,Die Hard 2,240031274,117540947,49%,122490327,0.51,1990,Action,Renny Harlin,7.1,R,PT2H4M
708,Crocodile Dundee II,239606210,109306210,45.60%,130300000,0.544,1988,Adventure,John Cornell,5.7,PG,PT1H48M
709,Bullet Train,239268602,103368602,43.20%,135900000,0.568,2022,No Data,David Leitch,7.3,R,PT2H7M
710,Crazy Rich Asians,238843729,174837452,73.20%,64006277,0.268,2018,No Data,Jon M. Chu,6.9,PG-13,PT2H
711,Batman & Robin,238235719,107353792,45.10%,130881927,0.549,1997,Action,,,,
712,Howl's Moving Castle,237536126,6789268,2.90%,230746858,0.971,2004,Fantasy,Hayao Miyazaki,8.2,PG,PT1H59M
713,Gulliver's Travels,237382724,42779261,18%,194603463,0.82,2010,Action,Rob Letterman,4.9,PG,PT1H25M
714,Gone in 60 Seconds,237202299,101648571,42.80%,135553728,0.572,2000,Action,,,,
715,Saturday Night Fever,237113184,94213184,39.70%,142900000,0.603,1977,Drama,,,,
716,Silver Linings Playbook,236412453,132092958,55.90%,104319495,0.441,2012,Drama,,,,
717,2 Fast 2 Furious,236350661,127154901,53.80%,109195760,0.462,2003,Action,John Singleton,5.9,PG-13,PT1H47M
718,Hidden Figures,235956898,169607287,71.90%,66349611,0.281,2016,Drama,Theodore Melfi,7.8,PG,PT2H7M
719,A.I. Artificial Intelligence,235926552,78616689,33.30%,157309863,0.667,2001,Drama,Steven Spielberg,7.2,PG-13,PT2H26M
720,Dead Poets Society,235860116,95860116,40.60%,140000000,0.594,1989,Drama,Peter Weir,8.1,PG,PT2H8M
721,Spy,235666219,110825712,47%,124840507,0.53,2015,Action,,,,
722,American Pie,235483004,102561004,43.60%,132922000,0.564,1999,Comedy,,,,
723,American Reunion,234989584,57011521,24.30%,177978063,0.757,2012,Comedy,Jon Hurwitz,6.7,R,PT1H53M
724,Big Daddy,234801895,163479795,69.60%,71322100,0.304,1999,Comedy,Dennis Dugan,6.4,PG-13,PT1H33M
725,Alvin and the Chipmunks: The Road Chip,234798636,85886987,36.60%,148911649,0.634,2015,Adventure,Walt Becker,4.9,PG,PT1H32M
726,The Imitation Game,233555708,91125683,39%,142430025,0.61,2014,History,Morten Tyldum,8.0,PG-13,PT1H54M
727,Cruella,233503234,86103234,36.90%,147400000,0.631,2021,No Data,Craig Gillespie,7.3,PG-13,PT2H14M
728,The Day the Earth Stood Still,233093859,79366978,34%,153726881,0.66,2008,Drama,Scott Derrickson,5.5,PG-13,PT1H44M
729,American Wedding,232722935,104565114,44.90%,128157821,0.551,2003,Comedy,Jesse Dylan,6.3,R,PT1H36M
730,The Girl with the Dragon Tattoo,232617430,102515793,44.10%,130101637,0.559,2011,Drama,David Fincher,7.8,R,PT2H38M
731,Juno,232372681,143495265,61.80%,88877416,0.382,2007,Comedy,Jason Reitman,7.5,PG-13,PT1H36M
732,Argo,232325503,136025503,58.60%,96300000,0.414,2012,Drama,,,,
733,Mr. Bean's Holiday,232225908,33302167,14.30%,198923741,0.857,2007,Family,Steve Bendelack,6.4,G,PT1H30M
734,The English Patient,231976425,78676425,33.90%,153300000,0.661,1996,Drama,Anthony Minghella,7.4,R,PT2H42M
735,Sister Act,231605150,139605150,60.30%,92000000,0.397,1992,Music,Emile Ardolino,6.5,PG,PT1H40M
736,Annabelle Comes Home,231252591,74152591,32.10%,157100000,0.679,2019,No Data,Gary Dauberman,5.9,R,PT1H46M
737,Constantine,230884728,75976178,32.90%,154908550,0.671,2005,Drama,Francis Lawrence,7.0,R,PT2H1M
738,Get Smart,230685453,130319208,56.50%,100366245,0.435,2008,Action,Peter Segal,6.5,PG-13,PT1H50M
739,Space Jam,230594962,90594962,39.30%,140000000,0.607,1996,Animation,Joe Pytka,6.5,PG,PT1H28M
740,Life Is Beautiful,230099013,57563264,25%,172535749,0.75,1998,Comedy,Roberto Benigni,8.6,PG-13,PT1H56M
741,The Heat,229930771,159582188,69.40%,70348583,0.306,2013,Action,Paul Feig,6.6,R,PT1H57M
742,Ghostbusters,229147509,128350574,56%,100796935,0.44,2016,Comedy,,,,
743,Ghost Rider,228738393,115802596,50.60%,112935797,0.494,2007,Thriller,Mark Steven Johnson,5.3,PG-13,PT1H50M
744,Goodbye Mr. Loser,228122928,1293626,0.60%,226829302,0.994,2015,Romance,Da-Mo Peng,6.7,,PT1H44M
745,Paddington 2,227994792,40907738,17.90%,187087054,0.821,2017,No Data,Paul King,7.8,PG,PT1H43M
746,Sleepless in Seattle,227927165,126808165,55.60%,101119000,0.444,1993,Comedy,Nora Ephron,6.8,PG,PT1H45M
747,Lethal Weapon 2,227853986,147253986,64.60%,80600000,0.354,1989,Action,,,,
748,The Green Hornet,227817248,98780042,43.40%,129037206,0.566,2011,Action,,,,
749,Out of Africa,227514205,87071205,38.30%,140443000,0.617,1985,Drama,Sydney Pollack,7.1,PG,PT2H41M
750,Elf,227356156,178053220,78.30%,49302936,0.217,2003,Comedy,Jon Favreau,7.1,PG,PT1H37M
751,Youth,227091290,1891956,0.80%,225199334,0.992,2017,Comedy,Paolo Sorrentino,7.3,R,PT2H4M
752,Baby Driver,226945087,107825862,47.50%,119119225,0.525,2017,Action,Edgar Wright,7.6,R,PT1H53M
753,Immortals,226904017,83504017,36.80%,143400000,0.632,2011,Fantasy,,,,
754,Taken,226837760,145000989,63.90%,81836771,0.361,2008,Action,Pierre Morel,7.8,PG-13,PT1H30M
755,Percy Jackson & the Olympians: The Lightning Thief,226497209,88768303,39.20%,137728906,0.608,2010,Adventure,Chris Columbus,5.9,PG,PT1H58M
756,Lightyear,226425420,118307188,52.20%,108118232,0.478,2022,No Data,Angus MacLane,6.1,PG,PT1H45M
757,Hansel & Gretel: Witch Hunters,226349749,55703475,24.60%,170646274,0.754,2013,Fantasy,Tommy Wirkola,6.1,R,PT1H28M
758,Valerian and the City of a Thousand Planets,225973340,41189488,18.20%,184783852,0.818,2017,Adventure,Luc Besson,6.4,PG-13,PT2H16M
759,Good Will Hunting,225933435,138433435,61.30%,87500000,0.387,1997,Drama,Gus Van Sant,8.3,R,PT2H6M
760,Better Days,225918798,1921657,0.80%,223997141,0.992,2019,No Data,Derek Tsang,7.6,,PT2H15M
761,Ford v Ferrari,225508210,117624357,52.20%,107883853,0.478,2019,No Data,,,,
762,Jumper,225132113,80172128,35.60%,144959985,0.644,2008,Adventure,Doug Liman,6.1,PG-13,PT1H28M
763,The Social Network,224920375,96962694,43.10%,127957681,0.569,2010,Drama,David Fincher,7.8,PG-13,PT2H
764,Chicken Run,224874960,106834564,47.50%,118040396,0.525,2000,Animation,Peter Lord,7.1,G,PT1H24M
765,Con Air,224012234,101117573,45.10%,122894661,0.549,1997,Action,Simon West,6.9,R,PT1H55M
766,Interview with the Vampire: The Vampire Chronicles,223664608,105264608,47.10%,118400000,0.529,1994,No Data,Neil Jordan,7.5,R,PT2H3M
767,Flightplan,223387299,89707299,40.20%,133680000,0.598,2005,Thriller,Robert Schwentke,6.3,PG-13,PT1H38M
768,Yes Man,223241637,97690976,43.80%,125550661,0.562,2008,Comedy,Peyton Reed,6.8,PG-13,PT1H44M
769,Non-Stop,222809600,92168600,41.40%,130641000,0.586,2014,Action,Jaume Collet-Serra,6.9,PG-13,PT1H46M
770,"Honey, I Shrunk the Kids",222724172,130724172,58.70%,92000000,0.413,1989,Adventure,Joe Johnston,6.4,PG,PT1H33M
771,Fahrenheit 9/11,222446882,119194771,53.60%,103252111,0.464,2004,No Data,Michael Moore,7.5,R,PT2H2M
772,Wild Wild West,222104681,113804681,51.20%,108300000,0.488,1999,Action,Barry Sonnenfeld,4.9,PG-13,PT1H46M
773,"My Country, My Parents",221831086,177133,<0.1%,221653953,0.999,2021,No Data,,,,
774,Geostorm,221600160,33700160,15.20%,187900000,0.848,2017,No Data,,,,
775,Presumed Innocent,221303188,86303188,39%,135000000,0.61,1990,Drama,,,,
776,Jungle Cruise,220889446,116987516,53%,103901930,0.47,2021,No Data,Jaume Collet-Serra,6.6,PG-13,PT2H7M
777,Scary Movie 3,220673217,110003217,49.80%,110670000,0.502,2003,Comedy,David Zucker,5.5,PG-13,PT1H24M
778,Collateral,220239925,101005703,45.90%,119234222,0.541,2004,Drama,,,,
779,Inferno,220021259,34343574,15.60%,185677685,0.844,2016,Horror,Ron Howard,6.2,PG-13,PT2H1M
780,Knocked Up,219922417,148768917,67.60%,71153500,0.324,2007,Comedy,Judd Apatow,6.9,R,PT2H9M
781,Green Lantern,219851172,116601172,53%,103250000,0.47,2011,Adventure,Martin Campbell,5.5,PG-13,PT1H54M
782,What Happens in Vegas,219375562,80277646,36.60%,139097916,0.634,2008,Comedy,Tom Vaughan,6.1,PG-13,PT1H39M
783,It's Complicated,219103655,112735375,51.40%,106368280,0.486,2009,Comedy,Nancy Meyers,6.5,R,PT2H
784,The Terminal,219100084,77872883,35.50%,141227201,0.645,2004,Comedy,Steven Spielberg,7.4,PG-13,PT2H8M
785,Little Women,218843645,108101214,49.40%,110742431,0.506,2019,Drama,Greta Gerwig,7.8,PG,PT2H15M
786,Captain Phillips,218791811,107100855,49%,111690956,0.51,2013,Action,Paul Greengrass,7.8,PG-13,PT2H14M
787,The Prince of Egypt,218613188,101413188,46.40%,117200000,0.536,1998,Adventure,Brenda Chapman,7.2,PG,PT1H39M
788,Jack Reacher,218340595,80070736,36.70%,138269859,0.633,2012,Crime,Christopher McQuarrie,7.0,PG-13,PT2H10M
789,Kingdom of Heaven,218122627,47398413,21.70%,170724214,0.783,2005,Drama,Ridley Scott,7.2,R,PT2H24M
790,The Emoji Movie,217776646,86089513,39.50%,131687133,0.605,2017,Comedy,Tony Leondis,3.4,PG,PT1H26M
791,Smile,217408513,105935048,48.70%,111473465,0.513,2022,Comedy,Parker Finn,6.5,R,PT1H55M
792,Too Cool to Kill,217254604,185882,<0.1%,217068722,0.999,2022,No Data,Wenxiong Xing,6.1,,PT1H49M
793,Dracula Untold,217124280,56280355,25.90%,160843925,0.741,2014,Horror,Gary Shore,6.2,PG-13,PT1H32M
794,Central Intelligence,216972543,127440871,58.70%,89531672,0.413,2016,Action,Rawson Marshall Thurber,6.3,PG-13,PT1H47M
795,Million Dollar Baby,216763646,100492203,46.40%,116271443,0.536,2004,Drama,Clint Eastwood,8.1,PG-13,PT2H12M
796,The Help,216639112,169708112,78.30%,46931000,0.217,2011,Drama,Tate Taylor,8.1,PG-13,PT2H26M
797,Twins,216614388,111938388,51.70%,104676000,0.483,1988,Comedy,Ivan Reitman,6.1,PG,PT1H47M
798,Valentine's Day,216528528,110528528,51%,106000000,0.49,2010,Comedy,,,,
799,Bad Teacher,216197492,100292856,46.40%,115904636,0.536,2011,Comedy,Jake Kasdan,5.6,R,PT1H32M
800,A Little Red Flower,216000000,0,0,216000000,1,2020,No Data,Yan Han,6.7,,PT2H2M
801,The Croods: A New Age,215905815,58568815,27.10%,157337000,0.729,2020,No Data,Joel Crawford,6.9,PG,PT1H35M
802,Clear and Present Danger,215887717,122187717,56.60%,93700000,0.434,1994,Action,Phillip Noyce,6.9,PG-13,PT2H21M
803,One Hundred and One Dalmatians,215880014,144880014,67.10%,71000000,0.329,1961,Adventure,Clyde Geronimi,7.3,G,PT1H19M
804,Ted 2,215863606,81476385,37.70%,134387221,0.623,2015,Comedy,Seth MacFarlane,6.3,R,PT1H55M
805,Bram Stoker's Dracula,215862692,82522790,38.20%,133339902,0.618,1992,Horror,Francis Ford Coppola,7.4,R,PT2H8M
806,Vertical Limit,215663859,69243859,32.10%,146420000,0.679,2000,Action,,,,
807,Ghostbusters II,215394738,112494738,52.20%,102900000,0.478,1989,Comedy,Ivan Reitman,6.6,PG,PT1H48M
808,The Patriot,215294342,113330342,52.60%,101964000,0.474,2000,Drama,Roland Emmerich,7.2,R,PT2H45M
809,The Sorcerer's Apprentice,215283742,63150991,29.30%,152132751,0.707,2010,Fantasy,Jon Turteltaub,6.1,PG,PT1H49M
810,Just Go with It,214945591,103028109,47.90%,111917482,0.521,2011,Romance,Dennis Dugan,6.4,PG-13,PT1H57M
811,The Expendables 3,214657577,39322544,18.30%,175335033,0.817,2014,Action,Patrick Hughes,6.1,PG-13,PT2H6M
812,Dirty Dancing,214577242,64577242,30.10%,150000000,0.699,1987,Drama,Emile Ardolino,7.0,PG-13,PT1H40M
813,Creed II,214215889,115715889,54%,98500000,0.46,2018,No Data,Steven Caple Jr.,7.1,PG-13,PT2H10M
814,Smallfoot,214115531,83315531,38.90%,130800000,0.611,2018,No Data,Karey Kirkpatrick,6.6,PG,PT1H36M
815,Public Enemies,214104620,97104620,45.40%,117000000,0.546,2009,History,Michael Mann,7.0,R,PT2H20M
816,The Bourne Identity,214034224,121661683,56.80%,92372541,0.432,2002,Action,Doug Liman,7.8,PG-13,PT1H59M
817,Disclosure,214015089,83015089,38.80%,131000000,0.612,1994,Drama,,,,
818,"Crouching Tiger, Hidden Dragon",213977285,128530421,60.10%,85446864,0.399,2000,Adventure,,8.0,T,
819,Pulp Fiction,213928762,107928762,50.40%,106000000,0.496,1994,Thriller,Quentin Tarantino,8.9,R,PT2H34M
820,The Aviator,213719942,102610330,48%,111109612,0.52,2004,Drama,Martin Scorsese,7.5,PG-13,PT2H50M
821,Braveheart,213216216,75609945,35.50%,137606271,0.645,1995,Action,Mel Gibson,8.3,R,PT2H58M
822,Into the Woods,212902372,128002372,60.10%,84900000,0.399,2014,Drama,Rob Marshall,5.9,PG,PT2H5M
823,Bedtime Stories,212874864,110101975,51.70%,102772889,0.483,2008,Fantasy,Adam Shankman,6.0,PG,PT1H39M
824,Miss Congeniality,212742720,106807667,50.20%,105935053,0.498,2000,Comedy,Donald Petrie,6.3,PG-13,PT1H49M
825,Entrapment,212404396,87704396,41.30%,124700000,0.587,1999,Romance,Jon Amiel,6.3,PG-13,PT1H53M
826,Ace Ventura: When Nature Calls,212385533,108385533,51%,104000000,0.49,1995,Crime,Steve Oedekerk,6.4,PG-13,PT1H30M
827,End of Days,211989043,66889043,31.60%,145100000,0.684,1999,Action,Peter Hyams,5.8,R,PT2H2M
828,Bridget Jones's Baby,211952420,24252420,11.40%,187700000,0.886,2016,Comedy,Sharon Maguire,6.5,R,PT2H3M
829,Fury,211822697,85817906,40.50%,126004791,0.595,2014,Crime,David Ayer,7.6,R,PT2H14M
830,Battle Los Angeles,211819354,83552429,39.40%,128266925,0.606,2011,No Data,Jonathan Liebesman,5.7,PG-13,PT1H56M
831,Australia,211787511,49554002,23.40%,162233509,0.766,2008,Drama,Baz Luhrmann,6.6,PG-13,PT2H45M
832,Due Date,211780824,100539043,47.50%,111241781,0.525,2010,Comedy,Todd Phillips,6.5,R,PT1H35M
833,Master and Commander: The Far Side of the World,211622535,93927920,44.40%,117694615,0.556,2003,Adventure,,,,
834,A Series of Unfortunate Events,211468235,118634549,56.10%,92833686,0.439,2004,No Data,Brad Silberling,6.8,PG,PT1H48M
835,The Little Mermaid,211343479,111543479,52.80%,99800000,0.472,1989,Animation,Rob Marshall,7.2,PG,PT2H15M
836,Nice View,211019042,0,0,211019042,1,2022,No Data,Muye Wen,6.6,,PT1H46M
837,District 9,210888950,115646235,54.80%,95242715,0.452,2009,Science Fiction,Neill Blomkamp,7.9,R,PT1H52M
838,Moonraker,210308099,70308099,33.40%,140000000,0.666,1979,Action,Lewis Gilbert,6.2,PG,PT2H6M
839,The Others,209956210,96531860,46%,113424350,0.54,2001,Horror,Alejandro Amenábar,7.6,PG-13,PT1H44M
840,Horrible Bosses,209838559,117538559,56%,92300000,0.44,2011,Comedy,,,,
841,Us and Them,209221380,0,0,209221380,1,2018,No Data,Rene Liu,7.4,Not Rated,PT2H
842,Red Dragon,209196298,93149898,44.50%,116046400,0.555,2002,Crime,Brett Ratner,7.2,R,PT2H4M
843,Tomorrowland,209035668,93436322,44.70%,115599346,0.553,2015,Adventure,Brad Bird,6.4,PG,PT2H10M
844,Me Before You,208314186,56245075,27%,152069111,0.73,2016,Drama,Thea Sharrock,7.4,PG-13,PT1H46M
845,Dungeons & Dragons: Honor Among Thieves,208177026,93277026,44.80%,114900000,0.552,2023,No Data,John Francis Daley,7.3,PG-13,PT2H14M
846,Safe House,208076205,126373434,60.70%,81702771,0.393,2012,Thriller,Daniel Espinosa,6.7,R,PT1H55M
847,S.W.A.T.,207725639,116934650,56.30%,90790989,0.437,2003,Action,Clark Johnson,6.0,PG-13,PT1H57M
848,DC League of Super-Pets,207557117,93657117,45.10%,113900000,0.549,2022,No Data,Jared Stern,7.1,PG,PT1H45M
849,The Fast and the Furious,207517509,144745925,69.80%,62771584,0.302,2001,Action,Rob Cohen,6.8,PG-13,PT1H46M
850,Traffic,207515725,124115725,59.80%,83400000,0.402,2000,Thriller,Steven Soderbergh,7.6,R,PT2H27M
851,Paranormal Activity 3,207039844,104028807,50.20%,103011037,0.498,2011,Horror,Henry Joost,5.8,R,PT1H23M
852,Philadelphia,206678440,77446440,37.50%,129232000,0.625,1993,Drama,,,,
853,The Conjuring: The Devil Made Me Do It,206431050,65631050,31.80%,140800000,0.682,2021,No Data,Michael Chaves,6.3,R,PT1H52M
854,Sleepy Hollow,206071502,101071502,49%,105000000,0.51,1999,Drama,Tim Burton,7.3,R,PT1H45M
855,The Holiday,205850169,63224849,30.70%,142625320,0.693,2006,Comedy,Nancy Meyers,6.9,PG-13,PT2H16M
856,The Jungle Book,205843612,141843612,68.90%,64000000,0.311,1967,Adventure,Jon Favreau,7.4,PG,PT1H46M
857,Raging Fire,205842393,385305,0.20%,205457088,0.998,2021,No Data,Benny Chan,6.6,Not Rated,PT2H6M
858,London Has Fallen,205754447,62524260,30.40%,143230187,0.696,2016,Action,Babak Najafi,5.9,R,PT1H39M
859,The Break-Up,205668210,118703275,57.70%,86964935,0.423,2006,Romance,Peyton Reed,5.8,PG-13,PT1H46M
860,Journey to the West,205637183,18058,<0.1%,205619125,1,2013,No Data,Hark Tsui,5.4,PG-13,PT1H49M
861,The Ugly Truth,205599393,88915214,43.20%,116684179,0.568,2009,Comedy,Robert Luketic,6.4,R,PT1H36M
862,JFK,205405498,70405498,34.30%,135000000,0.657,1991,Drama,Oliver Stone,8.0,R,PT3H9M
863,Birds of Prey,205372791,84172791,41%,121200000,0.59,2020,No Data,,,,
864,White House Down,205366737,73103784,35.60%,132262953,0.644,2013,Action,Roland Emmerich,6.3,PG-13,PT2H11M
865,A Dog's Purpose,205035819,64508620,31.50%,140527199,0.685,2017,Comedy,Lasse Hallström,7.2,PG,PT1H40M
866,Ponyo,204920882,15743471,7.70%,189177411,0.923,2008,Animation,Hayao Miyazaki,7.6,G,PT1H41M
867,Fun with Dick and Jane,204681899,110332737,53.90%,94349162,0.461,2005,Comedy,Dean Parisot,6.2,PG-13,PT1H30M
868,Eat Pray Love,204594016,80574010,39.40%,124020006,0.606,2010,Drama,Ryan Murphy,5.8,PG-13,PT2H13M
869,The Addams Family,204394183,100723831,49.30%,103670352,0.507,2019,Horror,,,,
870,Ghostbusters: Afterlife,204334455,129360575,63.30%,74973880,0.367,2021,No Data,Jason Reitman,7.1,PG-13,PT2H4M
871,You Don't Mess with the Zohan,204313400,100018837,49%,104294563,0.51,2008,Comedy,Dennis Dugan,5.6,PG-13,PT1H53M
872,Hairspray,203627753,118946291,58.40%,84681462,0.416,2007,Comedy,Adam Shankman,6.7,PG,PT1H57M
873,King Arthur,203567857,51882244,25.50%,151685613,0.745,2004,Adventure,Antoine Fuqua,6.3,PG-13,PT2H6M
874,Yogi Bear,203509374,100246011,49.30%,103263363,0.507,2010,Comedy,,,,
875,Everest,203427584,43482270,21.40%,159945314,0.786,2015,Adventure,Baltasar Kormákur,7.1,PG-13,PT2H1M
876,Vanilla Sky,203388341,100618344,49.50%,102769997,0.505,2001,Drama,Cameron Crowe,6.9,R,PT2H16M
877,Arrival,203388186,100546139,49.40%,102842047,0.506,2016,Thriller,Denis Villeneuve,7.9,PG-13,PT1H56M
878,Need for Speed,203277636,43577636,21.40%,159700000,0.786,2014,Action,Scott Waugh,6.4,PG-13,PT2H12M
879,Garfield,203172417,75369589,37.10%,127802828,0.629,2004,Animation,Mark Dindal,,,
880,Patch Adams,202292902,135026902,66.80%,67266000,0.332,1998,Comedy,Tom Shadyac,6.8,PG-13,PT1H55M
881,Teenage Mutant Ninja Turtles,202084756,135384756,67%,66700000,0.33,1990,Science Fiction,Jeff Rowe,7.3,PG,PT1H39M
882,Kindergarten Cop,201957688,91457688,45.30%,110500000,0.547,1990,Comedy,Ivan Reitman,6.2,PG-13,PT1H51M
883,Straight Outta Compton,201634991,161197785,80%,40437206,0.2,2015,Drama,F. Gary Gray,7.8,R,PT2H27M
884,21 Jump Street,201585328,138447667,68.70%,63137661,0.313,2012,Action,Phil Lord,7.2,R,PT1H49M
885,Valkyrie,201545517,83077833,41.20%,118467684,0.588,2008,Drama,Bryan Singer,7.1,PG-13,PT2H1M
886,Open Season,200811689,85105259,42.40%,115706430,0.576,2006,Comedy,Roger Allers,6.1,PG,PT1H26M
887,Cats & Dogs,200687492,93385515,46.50%,107301977,0.535,2001,Comedy,Tom Hooper,2.8,PG,PT1H50M
888,The Hunt for Red October,200512643,122012643,60.80%,78500000,0.392,1990,Action,John McTiernan,7.5,PG,PT2H15M
889,Percy Jackson: Sea of Monsters,199850315,68559554,34.30%,131290761,0.657,2013,Adventure,Thor Freudenthal,5.7,PG,PT1H46M
890,The Lego Movie 2: The Second Part,199603202,105956290,53.10%,93646912,0.469,2019,No Data,Mike Mitchell,6.6,PG,PT1H47M
891,Two Weeks Notice,199043471,93354851,46.90%,105688620,0.531,2002,Comedy,Marc Lawrence,6.1,PG-13,PT1H41M
892,RED,199006387,90380162,45.40%,108626225,0.546,2010,Drama,Matthew López,7.0,R,PT1H58M
893,Shock Wave 2,198921659,0,0,198921659,1,2020,No Data,Herman Yau,6.6,,PT2H
894,City of Angels,198685114,78685114,39.60%,120000000,0.604,1998,Drama,Brad Silberling,6.7,PG-13,PT1H54M
895,The Pacifier,198636868,113086868,56.90%,85550000,0.431,2005,Action,Adam Shankman,5.6,PG,PT1H35M
896,50 First Dates,198520934,120908074,60.90%,77612860,0.391,2004,Comedy,Peter Segal,6.8,PG-13,PT1H39M
897,Total Recall,198467168,58877969,29.70%,139589199,0.703,2012,Action,Paul Verhoeven,7.5,R,PT1H53M
898,The Island,198326350,670883,0.30%,197655467,0.997,2018,Action,Michael Bay,6.8,PG-13,PT2H16M
899,The Impossible,198087212,19019882,9.60%,179067330,0.904,2012,Thriller,J.A. Bayona,7.5,PG-13,PT1H54M
900,Lost in Thailand,197757387,57387,<0.1%,197700000,1,2012,Comedy,Zheng Xu,6.2,Not Rated,PT1H45M
901,Christopher Robin,197744377,99215042,50.20%,98529335,0.498,2018,No Data,Marc Forster,7.2,PG,PT1H44M
902,Jack the Giant Slayer,197687603,65187603,33%,132500000,0.67,2013,Action,Bryan Singer,6.3,PG-13,PT1H54M
903,Smurfs: The Lost Village,197183546,45020282,22.80%,152163264,0.772,2017,Adventure,Kelly Asbury,6.0,PG,PT1H30M
904,Chinese Doctors,197143218,0,0,197143218,1,2021,No Data,Andrew Lau,4.7,,PT2H9M
905,Spy Kids 3: Game Over,197101678,111761982,56.70%,85339696,0.433,2003,No Data,Robert Rodriguez,4.3,PG,PT1H24M
906,Panic Room,197079546,96397334,48.90%,100682212,0.511,2002,Crime,David Fincher,6.8,R,PT1H52M
907,The Other Woman,196710396,83911193,42.70%,112799203,0.573,2014,Drama,Nick Cassavetes,6.0,PG-13,PT1H49M
908,Stargate,196567262,71567262,36.40%,125000000,0.636,1994,Action,Roland Emmerich,7.0,PG-13,PT1H56M
909,Beowulf,196393745,82280579,41.90%,114113166,0.581,2007,Action,Robert Zemeckis,6.3,PG-13,PT1H55M
910,The Vow,196114570,125014030,63.80%,71100540,0.362,2012,Drama,Michael Sucsy,6.8,PG-13,PT1H44M
911,Anger Management,195745823,135645823,69.30%,60100000,0.307,2003,Comedy,Peter Segal,6.2,PG-13,PT1H46M
912,Tropic Thunder,195702963,110515313,56.50%,85187650,0.435,2008,Action,Ben Stiller,7.1,R,PT1H47M
