City,Country,Venue,CityNight,NumOpeningActs,TicketsSold,TicketsAvailable,SoldOut,Revenue,Tour
Cincinnati,United States,U.S. Bank Arena,1,2,11208,11208,1,645592,Fearless Tour
Oklahoma City,United States,Ford Center,1,2,11795,11795,1,675184,Fearless Tour
Wichita,United States,Intrust Bank Arena,1,2,11208,11208,1,610801,Fearless Tour
Kansas City,United States,Sprint Center,1,2,13781,13781,1,761110,Fearless Tour
Denver,United States,Pepsi Center,1,2,25991,25991,1,1497135,Fearless Tour
Denver,United States,Pepsi Center,2,2,25991,25991,1,1497135,Fearless Tour
Fresno,United States,Save Mart Center,1,2,11706,11706,1,649488,Fearless Tour
San Jose,United States,HP Pavilion,1,2,12744,12744,1,716726,Fearless Tour
Los Angeles,United States,Staples Center,1,2,27518,27518,1,1736197,Fearless Tour
Los Angeles,United States,Staples Center,2,2,27518,27518,1,1736197,Fearless Tour
Lexington,United States,Rupp Arena,1,2,17966,17966,1,1024223,Fearless Tour
Columbia,United States,Colonial Life Arena,1,2,13429,13429,1,755475,Fearless Tour
Raleigh,United States,RBC Center,1,2,13895,13895,1,752303,Fearless Tour
Des Moines,United States,Wells Fargo Arena,1,2,13264,13264,1,738280,Fearless Tour
Saint Paul,United States,Xcel Energy Center,1,2,14914,14914,1,846111,Fearless Tour
Moline,United States,iWireless Center,1,2,10641,10641,1,610668,Fearless Tour
Newark,United States,Prudential Center,1,2,26065,26065,1,1742669,Fearless Tour
Newark,United States,Prudential Center,2,2,26065,26065,1,1742669,Fearless Tour
Uniondale,United States,Nassau Veterans Memorial Coliseum,1,2,25831,25831,1,1713529,Fearless Tour
Uniondale,United States,Nassau Veterans Memorial Coliseum,2,2,25831,25831,1,1713529,Fearless Tour
Ottawa,Canada,Scotiabank Place,1,2,13376,13376,1,873206,Fearless Tour
Toronto,Canada,Air Canada Centre,1,2,30458,30458,1,2497690,Fearless Tour
Toronto,Canada,Air Canada Centre,2,2,30458,30458,1,2497690,Fearless Tour
Houston,United States,Toyota Center,1,2,23493,23493,1,1290926,Fearless Tour
Houston,United States,Toyota Center,2,2,23493,23493,1,1290926,Fearless Tour
Baton Rouge,United States,Tiger Stadium,1,,,,,,Fearless Tour
Washington,United States,Verizon Center,1,2,27290,27290,1,1824743,Fearless Tour
Washington,United States,Verizon Center,2,2,27290,27290,1,1824743,Fearless Tour
Foxborough,United States,Gillette Stadium,1,3,56868,56868,1,3726157,Fearless Tour
Nassau,The Bahamas,Imperial Ballroom,1,2,,,,,Fearless Tour
Cavendish,Canada,Cavendish Beach Festival Grounds,1,,35000,35000,1,,Fearless Tour
Singapore,Singapore,Singapore Indoor Stadium,1,1,8964,8964,1,916850,Speak Now World Tour
Seoul,South Korea,Olympic Gymnastics Arena,1,,4725,4725,1,385374,Speak Now World Tour
Osaka,Japan,Osaka-Jo Hall,1,,6953,6953,1,758113,Speak Now World Tour
Tokyo,Japan,Nippon Budokan,1,,15955,15955,1,1738227,Speak Now World Tour
Tokyo,Japan,Nippon Budokan,2,,15955,15955,1,1738227,Speak Now World Tour
